ID,2006,2007,2008,2009,2010,2011,2012,total,# yrs seen
AI11508,0,0,0,0,0,2,0,2,1
AI11509,0,0,0,0,0,1,0,1,1
AI11510,0,0,0,0,0,1,0,1,1
AI11516,0,0,0,0,0,1,0,1,1
AI11523,0,0,0,0,0,1,0,1,1
AI11531,0,0,0,0,0,1,0,1,1
AI11536,0,0,0,0,0,1,0,1,1
AI12538,0,0,0,0,0,0,3,3,1
AI12545,0,0,0,0,0,0,3,3,1
AI12547,0,0,0,0,0,0,2,2,1
AI12550,0,0,0,0,0,0,1,1,1
AI12551,0,0,0,0,0,0,4,4,1
AI12552,0,0,0,0,0,0,3,3,1
AI12554,0,0,0,0,0,0,1,1,1
AI12556,0,0,0,0,0,0,2,2,1
AI12558,0,0,0,0,0,0,3,3,1
AI12561,0,0,0,0,0,0,2,2,1
AI12567,0,0,0,0,0,0,1,1,1
AI12568,0,0,0,0,0,0,1,1,1
AI12569,0,0,0,0,0,0,1,1,1
AI12570,0,0,0,0,0,0,4,4,1
AI12577,0,0,0,0,0,0,3,3,1
AI12580,0,0,0,0,0,0,1,1,1
AI12581,0,0,0,0,0,0,1,1,1
AI12586,0,0,0,0,0,0,1,1,1
AI12591,0,0,0,0,0,0,4,4,1
AI12593,0,0,0,0,0,0,1,1,1
AI12598,0,0,0,0,0,0,1,1,1
AI12601,0,0,0,0,0,0,3,3,1
AI12606,0,0,0,0,0,0,1,1,1
AI12607,0,0,0,0,0,0,2,2,1
AI12608,0,0,0,0,0,0,1,1,1
AI12609,0,0,0,0,0,0,1,1,1
AI12610,0,0,0,0,0,0,2,2,1
AI12611,0,0,0,0,0,0,2,2,1
AI12612,0,0,0,0,0,0,1,1,1
AI12614,0,0,0,0,0,0,1,1,1
AI12615,0,0,0,0,0,0,2,2,1
AI12616,0,0,0,0,0,0,1,1,1
AI12617,0,0,0,0,0,0,1,1,1
AI12618,0,0,0,0,0,0,1,1,1
AI12619,0,0,0,0,0,0,1,1,1
AI12620,0,0,0,0,0,0,1,1,1
